row.names,survived,age,embarked_1,embarked_2,embarked_3,sex_0,sex_1,pclass_1,pclass_2,pclass_3
1,1,29.0,1,0,0,1,0,1,0,0
2,0,2.0,1,0,0,1,0,1,0,0
3,0,30.0,1,0,0,0,1,1,0,0
4,0,25.0,1,0,0,1,0,1,0,0
5,1,0.9167,1,0,0,0,1,1,0,0
6,1,47.0,1,0,0,0,1,1,0,0
7,1,63.0,1,0,0,1,0,1,0,0
8,0,39.0,1,0,0,0,1,1,0,0
9,1,58.0,1,0,0,1,0,1,0,0
10,0,71.0,0,1,0,0,1,1,0,0
11,0,47.0,0,1,0,0,1,1,0,0
12,1,19.0,0,1,0,1,0,1,0,0
13,1,38.64752691881111,0,1,0,1,0,1,0,0
14,1,41.51241901780585,1,0,0,0,1,1,0,0
15,0,41.51241901780585,1,0,0,0,1,1,0,0
16,1,50.0,0,1,0,1,0,1,0,0
17,0,24.0,0,1,0,0,1,1,0,0
18,0,36.0,0,1,0,0,1,1,0,0
19,1,37.0,1,0,0,0,1,1,0,0
20,1,47.0,1,0,0,1,0,1,0,0
21,1,26.0,0,1,0,0,1,1,0,0
22,0,25.0,0,1,0,0,1,1,0,0
23,1,25.0,0,1,0,0,1,1,0,0
24,1,19.0,0,1,0,1,0,1,0,0
25,1,28.0,1,0,0,0,1,1,0,0
26,0,45.0,1,0,0,0,1,1,0,0
27,1,39.0,0,1,0,0,1,1,0,0
28,1,30.0,1,0,0,1,0,1,0,0
29,1,58.0,1,0,0,1,0,1,0,0
30,0,41.51241901780585,1,0,0,0,1,1,0,0
31,1,45.0,0,1,0,1,0,1,0,0
32,1,22.0,1,0,0,1,0,1,0,0
33,1,41.51241901780585,1,0,0,0,1,1,0,0
34,0,41.0,1,0,0,0,1,1,0,0
35,0,48.0,0,1,0,0,1,1,0,0
36,0,40.9807227574938,0,1,0,0,1,1,0,0
37,1,44.0,0,1,0,1,0,1,0,0
38,1,59.0,1,0,0,1,0,1,0,0
39,1,60.0,0,1,0,1,0,1,0,0
40,0,45.0,1,0,0,0,1,1,0,0
41,1,41.51241901780585,1,0,0,0,1,1,0,0
42,1,53.0,0,1,0,1,0,1,0,0
43,1,58.0,0,1,0,1,0,1,0,0
44,1,36.0,0,1,0,0,1,1,0,0
45,0,33.0,1,0,0,0,1,1,0,0
46,0,41.51241901780585,1,0,0,0,1,1,0,0
47,0,41.51241901780585,1,0,0,0,1,1,0,0
